trip_id,payment_type,amount,tip
154,Wallet,121.25,20.66
155,UPI,418.75,15.64
156,Card,254.16,0.0
157,Wallet,140.76,3.21
158,UPI,250.27,42.07
159,Wallet,41.64,22.79
160,Wallet,340.56,49.1
161,UPI,141.66,44.44
162,UPI,301.68,0.0
163,UPI,495.54,44.88
164,UPI,122.04,0.93
165,UPI,688.8,20.76
166,Card,148.32,0.0
167,UPI,86.4,5.59
168,UPI,172.51,45.09
169,UPI,207.36,0.0
170,Wallet,244.56,43.06
171,UPI,415.44,1.2
172,UPI,544.8,1.96
173,Card,308.16,8.3
174,Wallet,496.8,3.44
175,Wallet,288.0,46.78
176,Card,292.56,6.59
177,UPI,27.94,43.89
178,UPI,155.88,5.03
179,UPI,305.57,25.04
180,Wallet,635.76,0.0
181,UPI,106.99,1.73
182,UPI,334.62,3.18
183,Wallet,177.48,5.79
184,Card,208.92,0.0
185,Card,514.26,33.08
186,Card,306.48,0.0
187,Wallet,518.04,43.92
188,UPI,147.84,0.0
189,UPI,41.4,0.0
190,Card,69.84,45.49
191,Card,415.44,48.29
192,Card,425.52,0.0
193,Card,675.12,0.0
194,Wallet,91.62,41.15
195,Card,84.6,49.04
196,UPI,325.87,8.99
197,Card,529.44,17.68
198,UPI,160.92,33.79
199,UPI,374.4,17.77
200,UPI,667.68,0.0
201,UPI,391.68,37.41
202,Wallet,640.8,6.92
203,Wallet,259.92,34.54
204,UPI,85.86,41.1
205,UPI,346.08,0.0
206,UPI,210.96,12.89
207,Wallet,714.96,19.11
208,UPI,340.7,4.37
209,Card,682.56,20.57
210,Wallet,443.34,0.0
211,Wallet,26.4,47.45
212,UPI,686.88,29.98
213,Wallet,229.5,18.8
214,Wallet,698.64,35.8
215,Card,120.48,31.47
216,Wallet,27.0,36.99
217,Card,516.24,8.15
218,UPI,418.46,1.28
219,Wallet,235.62,4.17
220,Card,275.76,45.51
221,Card,87.48,48.04
222,UPI,221.76,23.37
223,Wallet,614.64,0.0
224,Card,322.92,6.78
225,Card,65.38,25.1
226,UPI,297.84,11.07
227,UPI,144.6,25.05
228,Card,294.62,38.35
229,Wallet,116.88,33.03
230,Wallet,419.47,11.63
231,Card,31.5,19.21
232,Wallet,352.08,37.69
233,Wallet,241.2,26.2
234,Card,324.72,29.72
235,Card,348.12,47.1
236,Card,95.16,0.0
237,Card,363.6,30.67
238,Card,230.04,18.73
239,Card,107.76,0.0
240,Card,286.8,16.81
241,UPI,264.12,38.67
242,Card,202.8,34.79
243,Wallet,347.04,5.65
244,Card,204.91,0.0
245,Wallet,369.84,29.02
246,Wallet,178.08,41.59
247,Wallet,235.01,39.29
248,Wallet,225.96,49.87
249,UPI,685.68,3.28
250,Wallet,399.6,24.33
251,Card,99.12,5.18
252,Wallet,479.34,0.0
253,UPI,136.08,0.08
254,Wallet,534.24,20.44
255,Card,329.76,26.5
256,Card,95.52,33.35
257,UPI,242.64,0.0
258,UPI,320.04,8.39
259,UPI,194.4,0.4
260,UPI,47.52,6.18
261,UPI,34.2,43.23
262,Wallet,414.29,0.0
263,UPI,400.68,13.97
264,Wallet,14.52,0.0
265,Wallet,552.0,13.74
266,Wallet,244.32,3.12
267,Card,701.28,29.59
268,Wallet,136.8,0.0
269,UPI,38.88,21.94
270,UPI,321.36,46.02
271,UPI,125.28,48.12
272,UPI,140.98,0.0
273,UPI,177.7,32.71
274,Card,230.4,29.63
275,Card,426.72,0.0
276,Card,344.74,41.32
277,UPI,513.72,9.14
278,UPI,220.56,44.03
279,UPI,368.16,36.37
280,Card,480.0,16.29
281,UPI,22.56,4.81
282,UPI,317.64,0.0
283,UPI,212.54,0.0
284,Card,39.0,0.0
285,UPI,189.5,0.0
286,Wallet,512.64,20.21
287,Card,181.26,20.87
288,Card,394.74,18.71
289,Wallet,106.56,0.0
290,Wallet,308.16,0.0
291,UPI,229.92,49.12
292,Wallet,283.32,1.57
293,UPI,263.95,4.8
294,Card,85.44,45.01
295,Wallet,124.74,20.95
296,UPI,464.76,0.0
297,Wallet,96.48,0.0
298,UPI,354.72,40.75
299,UPI,60.96,0.0
300,UPI,102.24,4.0
301,Card,155.66,16.33
302,Wallet,367.63,0.0
303,UPI,357.12,32.4
304,Wallet,194.28,22.34
305,UPI,51.48,0.0
306,UPI,294.48,36.25
307,UPI,72.86,21.82
308,Wallet,490.68,0.0
309,Wallet,245.23,47.18
310,Card,184.75,0.0
311,Wallet,87.98,30.58
312,UPI,128.59,26.04
313,Card,204.72,48.59
314,Card,48.12,11.54
315,UPI,28.08,0.0
316,Card,548.4,0.0
317,Card,167.16,37.13
318,Wallet,495.72,20.79
319,UPI,235.3,43.99
320,Wallet,18.6,0.0
321,Wallet,455.04,0.0
322,Card,258.05,27.92
323,Card,36.18,12.3
324,Wallet,465.6,34.28
325,Wallet,403.34,23.47
326,Wallet,90.84,22.2
327,UPI,624.72,9.76
328,Wallet,25.34,2.75
329,UPI,303.7,24.63
330,UPI,77.4,3.97
331,UPI,328.08,2.63
332,UPI,311.28,3.73
333,Wallet,92.02,41.83
334,UPI,364.03,3.06
335,UPI,320.4,41.22
336,Card,364.32,36.64
337,UPI,460.56,25.36
338,Wallet,291.0,22.06
339,Card,617.28,40.4
340,Card,137.52,0.0
341,Card,76.44,0.0
342,UPI,285.41,20.37
343,Card,213.36,9.94
344,UPI,379.44,0.0
345,UPI,430.08,26.29
346,UPI,290.45,0.0
347,Wallet,279.6,0.0
348,UPI,393.12,0.0
349,UPI,18.12,2.96
350,Card,609.84,0.0
351,Card,122.58,14.56
352,Card,114.24,45.58
353,UPI,87.84,0.0
354,UPI,176.69,0.0
355,Card,222.84,48.69
356,Card,458.28,28.66
357,Wallet,324.48,4.24
358,Wallet,148.14,34.07
359,Card,316.92,18.49
360,UPI,70.92,16.58
361,Wallet,629.76,0.0
362,Card,421.2,25.41
363,Wallet,125.28,0.0
364,UPI,390.24,31.66
365,Card,506.34,0.0
366,Wallet,152.16,38.91
367,Wallet,51.96,41.63
368,Wallet,359.4,8.76
369,UPI,476.1,37.99
370,Wallet,205.2,9.84
371,Card,122.88,34.87
372,Card,447.84,0.0
373,UPI,166.86,0.0
374,Card,236.04,0.0
375,UPI,260.4,0.0
376,Wallet,449.52,37.77
377,UPI,523.44,45.47
378,UPI,53.4,30.87
379,Wallet,507.96,12.1
380,Wallet,152.46,20.05
381,UPI,212.83,9.77
382,UPI,374.83,6.52
383,Card,226.08,0.0
384,Card,140.83,0.0
385,Card,87.24,16.9
386,Card,322.56,0.0
387,Wallet,107.28,19.85
388,UPI,81.96,25.74
389,UPI,478.8,27.13
390,Wallet,390.24,0.0
391,Card,201.84,20.22
392,UPI,475.38,14.95
393,Wallet,644.4,46.33
394,UPI,402.05,0.0
395,UPI,85.39,0.0
396,UPI,211.5,20.63
397,UPI,260.76,37.81
398,Wallet,66.96,41.12
399,UPI,113.76,0.0
400,Wallet,216.86,18.5
401,Wallet,516.06,42.26
402,UPI,45.6,9.78
403,Wallet,317.52,42.12
404,Wallet,211.86,9.52
405,Wallet,270.24,21.87
406,UPI,452.88,8.83
407,UPI,396.54,0.0
408,UPI,235.08,11.48
409,Wallet,121.56,16.79
410,UPI,417.74,19.77
411,Card,316.37,0.0
412,Wallet,199.44,0.0
413,Card,42.96,29.0
414,Card,443.52,34.99
415,Card,130.9,37.39
416,UPI,62.1,0.0
417,UPI,262.8,26.12
418,UPI,352.62,36.59
419,Card,338.76,0.0
420,UPI,535.92,36.56
421,UPI,399.6,43.08
422,UPI,713.76,0.0
423,Wallet,102.67,0.0
424,UPI,341.14,12.8
425,UPI,50.64,41.3
426,Wallet,17.71,23.35
427,Wallet,30.38,40.54
428,Wallet,538.56,12.44
429,Card,307.92,40.57
430,UPI,239.33,0.0
431,Card,265.54,17.73
432,Card,297.18,30.69
433,UPI,229.68,20.68
434,Card,146.52,10.7
435,Wallet,330.84,40.74
436,Wallet,686.4,43.68
437,UPI,416.3,8.97
438,UPI,236.88,6.62
439,Card,96.48,38.78
440,Card,309.02,33.23
441,Wallet,662.16,41.27
442,Wallet,115.44,20.73
443,Card,121.39,0.58
444,Wallet,575.52,11.99
445,UPI,687.12,18.19
446,Card,582.48,0.0
447,Wallet,426.06,39.02
448,Card,624.72,6.65
449,UPI,366.19,26.91
450,Card,134.28,0.0
451,Wallet,348.62,0.0
452,Card,253.62,42.47
453,Wallet,126.58,15.6
454,Wallet,361.98,0.0
455,Card,311.28,3.66
456,Wallet,217.08,0.0
457,UPI,183.72,37.48
458,UPI,151.08,40.34
459,Card,146.34,13.05
460,Card,186.12,10.24
461,Wallet,24.24,19.23
462,Wallet,574.8,19.36
463,Card,69.3,32.41
464,UPI,568.8,0.0
465,Card,128.59,18.44
466,Card,450.18,0.0
467,UPI,224.64,4.03
468,UPI,388.56,27.86
469,Card,454.5,25.25
470,UPI,289.01,23.08
471,Card,118.37,47.33
472,Card,183.02,4.19
473,Wallet,421.38,34.35
474,Wallet,208.92,34.64
475,UPI,89.76,44.02
476,Wallet,17.04,34.96
477,Wallet,304.56,0.0
478,Card,29.88,45.25
479,UPI,546.96,32.99
480,Wallet,475.74,47.81
481,UPI,304.56,0.0
482,Card,57.42,35.24
483,Wallet,176.83,43.37
484,UPI,323.82,41.94
485,Wallet,140.52,34.24
486,UPI,222.72,11.25
487,Wallet,292.18,38.28
488,Wallet,286.32,15.57
489,Wallet,448.2,15.68
490,UPI,202.61,34.25
491,UPI,508.68,11.77
492,Card,106.56,1.37
493,Wallet,354.1,5.62
494,UPI,393.26,1.37
495,Wallet,295.92,19.83
496,Card,714.72,21.08
497,UPI,116.16,0.0
498,Wallet,90.24,7.52
499,Card,271.98,6.2
500,Card,239.04,24.1
501,Wallet,51.55,47.44
502,Card,118.56,17.92
503,Wallet,33.84,19.94
504,UPI,374.11,6.29
505,Card,135.22,35.24
506,Card,335.16,22.31
507,UPI,396.18,29.39
508,UPI,335.95,13.2
509,Wallet,105.66,11.39
510,Wallet,347.47,0.0
511,Wallet,324.54,14.59
512,UPI,344.16,0.0
513,Card,124.2,11.21
514,UPI,99.0,17.19
515,Card,411.84,1.0
516,Wallet,263.34,44.71
517,UPI,231.12,21.8
518,Card,680.16,0.0
519,UPI,50.11,14.36
520,Wallet,95.47,19.59
521,Wallet,336.72,20.38
522,Card,273.42,2.44
523,Card,27.36,0.0
524,Wallet,19.01,0.0
525,Wallet,115.02,26.46
526,UPI,242.21,29.24
527,Card,60.66,0.0
528,UPI,80.28,0.0
529,Wallet,473.04,21.62
530,Wallet,487.26,30.58
531,Card,235.2,15.19
532,UPI,281.16,44.84
533,UPI,214.2,42.89
534,UPI,141.41,14.37
535,UPI,178.08,42.79
536,Card,244.44,45.67
537,Card,163.73,9.19
538,Card,251.28,0.0
539,Wallet,423.54,30.53
540,UPI,357.84,11.06
541,UPI,169.63,15.02
542,Card,341.28,23.46
543,Wallet,45.36,0.0
544,Wallet,478.26,36.94
545,UPI,385.92,0.0
546,Wallet,391.25,0.0
547,Card,24.34,0.0
548,UPI,125.04,25.38
549,Wallet,364.32,40.9
550,Wallet,192.38,13.49
551,Wallet,220.56,18.94
552,UPI,159.0,17.51
553,Wallet,217.26,34.64
554,Card,207.84,13.78
555,Card,167.16,0.0
556,Wallet,185.22,7.63
557,UPI,250.8,36.89
558,UPI,92.76,45.11
559,UPI,162.58,0.0
560,Wallet,480.72,20.67
561,Wallet,135.72,8.88
562,UPI,28.44,0.73
563,UPI,110.88,44.14
564,UPI,351.24,40.19
565,Wallet,357.6,0.0
566,Wallet,260.16,0.0
567,Wallet,410.4,1.89
568,Wallet,279.36,0.0
569,Wallet,111.96,44.03
570,Card,80.88,25.93
571,Wallet,148.2,18.93
572,Card,203.9,0.0
573,UPI,20.52,0.0
574,UPI,241.2,31.58
575,UPI,396.18,0.0
576,Wallet,100.8,31.56
577,UPI,77.76,35.5
578,Card,272.16,34.85
579,UPI,452.88,0.0
580,UPI,77.04,41.78
581,Card,38.34,0.0
582,Card,118.08,0.0
583,UPI,309.96,0.0
584,UPI,205.2,0.0
585,Card,198.54,41.26
586,Wallet,233.1,0.0
587,Wallet,114.66,6.36
588,UPI,42.0,0.0
589,UPI,185.52,0.0
590,UPI,151.44,0.0
591,Wallet,30.82,16.62
592,Wallet,242.04,26.28
593,Wallet,397.8,0.55
594,Card,162.48,40.1
595,Card,13.44,39.91
596,Wallet,486.36,24.73
597,Wallet,77.76,38.99
598,Wallet,703.2,10.87
599,Wallet,233.57,0.0
600,UPI,124.92,45.3
601,Wallet,387.5,1.94
602,UPI,666.48,23.68
603,Wallet,55.3,0.0
604,UPI,30.48,0.0
605,Wallet,445.86,5.65
606,UPI,44.64,8.42
607,UPI,264.96,6.92
608,Wallet,466.8,42.18
609,Card,249.12,28.69
610,UPI,35.52,0.0
611,Card,257.76,0.0
612,Card,187.2,48.38
613,Card,234.0,42.45
614,Card,124.85,0.0
615,Wallet,204.72,0.0
616,Card,140.11,25.75
617,UPI,188.04,44.14
618,Card,142.02,40.03
619,Wallet,188.06,46.39
620,Wallet,18.12,26.32
621,UPI,510.48,41.2
622,Wallet,270.72,8.96
623,Wallet,697.92,47.18
624,UPI,434.4,22.91
625,Wallet,266.4,0.0
626,Wallet,441.6,6.72
627,Card,96.96,41.27
628,UPI,102.78,4.92
629,Wallet,78.36,27.73
630,UPI,232.8,10.47
631,Wallet,230.64,34.26
632,UPI,166.2,31.24
633,Wallet,340.2,42.59
634,UPI,82.8,7.0
635,Card,174.6,0.0
636,Card,288.43,36.92
637,UPI,612.0,32.03
638,Card,531.0,2.75
639,Wallet,318.96,36.67
640,Card,530.88,0.0
641,Wallet,352.32,0.0
642,Wallet,413.57,40.49
643,Wallet,153.18,18.75
644,UPI,232.02,35.37
645,Card,247.2,37.48
646,Card,409.54,0.0
647,Card,163.73,15.48
648,Card,125.57,0.0
649,Card,390.24,37.93
650,UPI,600.48,2.79
651,Wallet,198.36,35.91
652,Card,123.6,47.28
653,Wallet,252.18,23.6
654,Wallet,132.48,11.07
655,Wallet,68.4,23.08
656,UPI,43.92,35.39
657,Wallet,286.56,34.58
658,Wallet,419.33,0.0
659,Card,613.2,43.56
660,Wallet,90.43,0.0
661,Card,68.22,39.67
662,Card,176.76,26.69
663,UPI,158.16,35.41
664,UPI,332.28,0.0
665,Card,259.2,37.9
666,Card,73.08,48.17
667,UPI,79.68,0.0
668,Card,55.15,26.29
669,Card,126.0,44.34
670,Wallet,423.36,31.17
671,Wallet,219.96,30.47
672,Card,17.04,48.27
673,Card,229.2,37.74
674,UPI,714.0,0.83
675,UPI,427.39,0.0
676,Wallet,284.04,38.6
677,UPI,187.92,0.0
678,Card,429.6,0.0
679,Card,339.48,35.73
680,Card,216.0,29.84
681,Wallet,269.64,2.57
682,UPI,176.54,35.12
683,UPI,418.08,19.33
684,Card,172.8,18.84
685,UPI,132.12,0.0
686,Wallet,377.1,0.0
687,Wallet,286.38,0.62
688,UPI,243.0,47.89
689,UPI,57.24,36.88
690,UPI,451.68,0.0
691,UPI,353.95,37.85
692,Wallet,227.7,0.0
693,Wallet,341.42,0.0
694,Wallet,224.88,0.0
695,Card,685.68,0.0
696,Card,255.6,2.29
697,Wallet,302.58,23.09
698,UPI,136.32,2.45
699,Card,141.72,33.3
700,UPI,512.46,19.64
701,Wallet,108.0,38.19
702,Wallet,371.66,3.58
703,Card,184.14,39.51
704,UPI,500.16,0.0
705,Card,408.96,0.0
706,Card,243.6,6.76
707,UPI,309.6,46.22
708,Card,157.08,33.39
709,Card,338.58,30.63
710,Card,113.04,25.88
711,Card,124.92,27.6
712,Wallet,308.52,10.03
713,Wallet,517.32,16.33
714,Wallet,244.44,41.39
715,Wallet,370.8,40.14
716,Card,215.64,37.71
717,Wallet,115.78,11.94
718,Wallet,702.0,0.0
719,Wallet,291.24,5.72
720,UPI,274.75,32.59
721,Wallet,378.0,6.87
722,UPI,195.36,0.0
723,UPI,254.16,13.85
724,Card,83.38,30.52
725,Card,307.68,22.95
726,UPI,16.2,44.96
727,Wallet,174.36,23.92
728,Card,88.56,48.04
729,Wallet,310.86,43.1
730,Wallet,45.79,46.34
731,Card,44.78,44.14
732,Card,236.7,30.91
733,Wallet,200.02,0.0
734,Card,305.64,40.01
735,Card,12.36,0.0
736,Wallet,517.68,1.38
737,UPI,508.08,0.0
738,UPI,644.64,28.66
739,Card,77.04,18.32
740,Card,533.88,0.0
741,Wallet,606.24,29.27
742,Card,476.16,2.94
743,Wallet,454.56,37.69
744,UPI,156.72,0.0
745,UPI,131.47,21.92
746,UPI,18.48,0.0
747,Wallet,69.6,3.65
748,Card,90.9,20.56
749,UPI,73.3,4.87
750,Wallet,44.04,25.63
751,Wallet,410.16,31.94
752,Card,175.25,11.11
753,Card,85.39,0.03
754,Wallet,442.44,39.38
755,Card,279.36,26.56
756,UPI,91.3,22.55
757,Wallet,67.32,0.0
758,Wallet,109.56,0.0
759,Wallet,513.72,0.0
760,Card,270.72,15.68
761,UPI,117.79,0.0
762,UPI,42.62,0.0
763,Wallet,152.5,31.03
764,Card,406.62,2.12
765,Wallet,192.24,0.0
766,UPI,81.18,2.41
767,Card,37.26,41.27
768,UPI,400.03,0.0
769,Wallet,335.7,11.25
770,UPI,133.68,24.53
771,Card,91.68,0.0
772,UPI,329.52,10.53
773,Wallet,336.72,39.28
774,UPI,30.0,6.1
775,UPI,226.8,0.0
776,UPI,98.46,0.0
777,Card,226.22,20.45
778,Wallet,621.84,0.0
779,Wallet,16.32,9.75
780,Card,436.56,8.82
781,Card,367.63,29.09
782,UPI,262.56,21.54
783,Wallet,307.68,27.02
784,UPI,298.56,0.0
785,UPI,420.0,8.64
786,Card,300.96,0.0
787,Card,567.36,4.44
788,Card,298.8,19.31
789,Wallet,106.13,0.0
790,UPI,353.52,0.0
791,Card,67.68,42.78
792,Wallet,334.32,0.0
793,Wallet,350.35,0.0
794,UPI,120.38,5.09
795,Card,250.44,25.5
796,UPI,54.14,0.0
797,Wallet,76.9,0.0
798,Wallet,220.5,0.0
799,Wallet,330.0,2.87
800,Wallet,224.4,11.17
801,Card,192.42,0.0
802,Wallet,176.4,20.35
803,UPI,54.96,4.98
804,Card,312.24,19.77
805,Wallet,133.92,19.73
806,Wallet,515.28,9.41
807,Wallet,88.32,25.18
808,Card,196.68,14.63
809,Wallet,168.96,29.41
810,Card,98.16,40.74
811,UPI,41.33,7.74
812,UPI,563.04,15.77
813,Wallet,17.71,0.0
814,UPI,602.64,17.73
815,Card,86.26,21.68
816,Wallet,519.12,31.93
817,Wallet,355.56,47.77
818,Card,160.02,37.96
819,Wallet,321.12,0.0
820,Card,153.18,16.17
821,Card,198.24,44.51
822,Wallet,212.83,12.63
823,Card,117.0,0.0
824,Card,389.28,22.71
825,Wallet,252.0,21.68
826,Card,588.0,36.62
827,Wallet,479.34,47.15
828,Card,516.06,22.57
829,UPI,496.44,0.0
830,Card,156.96,22.94
831,Card,363.6,33.77
832,Wallet,461.28,30.23
833,Wallet,495.12,0.0
834,Card,321.84,0.0
835,UPI,117.65,0.0
836,Card,535.86,0.0
837,Card,98.52,0.0
838,Card,395.64,7.11
839,Card,95.4,7.58
840,UPI,400.08,44.16
841,Wallet,22.32,0.0
842,UPI,672.96,37.16
843,UPI,432.0,32.57
844,Card,357.96,21.19
845,Card,405.12,22.97
846,UPI,49.25,0.0
847,UPI,89.1,33.48
848,UPI,62.28,43.73
849,UPI,603.12,43.07
850,Card,132.12,0.0
851,UPI,402.12,20.11
852,UPI,487.44,32.58
853,Wallet,345.02,24.45
854,Wallet,345.74,41.18
855,UPI,306.14,5.35
856,Card,444.78,37.51
857,Card,268.7,21.28
858,Wallet,333.72,31.8
859,UPI,351.6,37.49
860,Wallet,214.85,29.93
861,Wallet,228.96,13.81
862,Wallet,144.0,0.0
863,UPI,486.72,4.14
864,UPI,400.5,38.51
865,Wallet,91.68,24.52
866,Wallet,267.41,3.38
867,Wallet,135.12,0.0
868,Card,117.6,19.66
869,Wallet,632.16,24.58
870,Card,139.2,10.8
871,UPI,383.22,0.0
872,Wallet,303.84,39.06
873,Wallet,111.78,2.11
874,Card,462.6,0.0
875,Wallet,240.91,33.79
876,Wallet,565.68,16.02
877,UPI,393.41,5.91
878,Card,293.76,8.04
879,Wallet,87.3,9.02
880,Card,78.48,0.0
881,UPI,319.2,22.67
882,UPI,280.32,34.24
883,Card,232.08,0.0
884,Wallet,214.38,8.99
885,Wallet,46.32,0.0
886,UPI,28.56,2.35
887,Wallet,24.77,45.97
888,UPI,89.82,0.0
889,UPI,55.92,0.0
890,Wallet,174.82,0.0
891,Wallet,298.62,48.71
892,Card,101.09,27.88
893,Wallet,417.46,0.77
894,Wallet,247.54,38.73
895,Wallet,118.37,10.14
896,Wallet,325.08,10.87
897,Card,252.96,20.43
898,Wallet,221.76,34.46
899,Wallet,65.16,15.48
900,UPI,585.12,42.39
901,UPI,170.21,47.74
902,Wallet,323.82,28.47
903,Card,202.32,26.57
904,UPI,325.56,15.09
905,Card,123.84,0.0
906,Wallet,34.8,17.57
907,Card,28.37,5.84
908,Card,164.02,0.0
909,UPI,233.71,0.41
910,Card,258.84,10.47
911,Card,325.44,21.13
912,Card,420.48,33.62
913,UPI,144.72,0.0
914,Card,205.08,10.32
915,Wallet,489.06,9.99
916,Card,228.72,0.0
917,Card,244.56,11.67
918,Wallet,444.24,34.82
919,Wallet,290.16,0.0
920,UPI,123.84,28.64
921,UPI,251.28,24.76
922,Wallet,70.38,0.0
923,Wallet,95.18,0.0
924,Card,20.64,41.58
925,Wallet,308.02,30.12
926,Card,152.16,0.0
927,UPI,347.28,0.0
928,UPI,147.12,29.05
929,UPI,369.94,37.45
930,Wallet,180.48,42.76
931,UPI,311.18,14.68
932,UPI,535.2,34.66
933,UPI,381.6,37.04
934,Card,23.04,40.81
935,UPI,337.86,32.78
936,Card,87.24,46.03
937,Wallet,183.36,42.51
938,Card,408.82,0.0
939,UPI,61.34,0.0
940,Card,409.68,8.56
941,Card,435.6,40.03
942,Wallet,658.8,26.97
943,Card,485.28,28.3
944,UPI,202.32,0.0
945,Card,297.12,15.72
946,UPI,293.76,3.43
947,Card,186.62,0.0
948,Wallet,164.88,39.11
949,UPI,270.84,9.89
950,Wallet,41.58,42.8
951,Card,180.12,6.05
952,UPI,559.68,9.2
953,Card,255.89,25.61
954,Wallet,45.79,31.79
955,Card,274.32,22.16
956,Card,434.4,5.42
957,Card,378.9,29.6
958,UPI,554.4,0.0
959,Wallet,137.34,4.73
960,Card,372.96,5.6
961,Wallet,448.56,35.57
962,Card,318.72,39.63
963,Card,45.48,2.02
964,Wallet,83.28,11.49
965,Wallet,18.18,41.91
966,UPI,485.52,30.24
967,UPI,203.33,0.0
968,UPI,126.9,9.37
969,Card,244.08,19.8
970,Wallet,168.96,10.81
971,UPI,339.84,0.0
972,Card,231.72,21.22
973,UPI,15.48,0.0
974,Wallet,228.24,25.82
975,UPI,69.72,0.07
976,Wallet,548.4,41.03
977,Wallet,395.42,2.8
978,UPI,81.07,0.0
979,Wallet,170.88,0.0
980,Card,368.78,36.25
981,Wallet,273.06,0.0
982,UPI,86.26,44.65
983,UPI,285.12,37.59
984,UPI,274.18,27.84
985,UPI,156.96,22.57
986,UPI,421.92,14.24
987,Card,294.05,16.6
988,Wallet,303.12,31.53
989,UPI,416.74,40.66
990,UPI,358.32,0.0
991,Card,537.12,0.0
992,UPI,316.56,0.0
993,Wallet,44.35,20.59
994,Wallet,254.74,24.96
995,Card,237.31,19.32
996,Card,264.72,46.91
