driver_id,city,vehicle_type,join_date,rating,experience_years
41,Hyderabad,Mini,2023-08-12,4.24,2
42,Delhi,Mini,2022-11-13,4.11,5
43,Kolkata,Bike,2022-08-10,3.9,3
44,Delhi,Auto,2022-11-07,4.99,9
45,Pune,Mini,2023-05-15,4.64,5
46,Mumbai,Mini,2022-09-15,4.5,6
47,Pune,SUV,2022-01-25,3.9,4
48,Pune,Auto,2022-05-11,4.21,4
49,Mumbai,Sedan,2022-11-11,3.93,1
50,Delhi,Sedan,2023-05-26,4.85,4
51,Hyderabad,Bike,2021-10-09,3.9,5
52,Delhi,Bike,2022-11-29,4.3,0
53,Chennai,Sedan,2022-11-10,4.57,3
54,Delhi,Bike,2023-09-25,4.76,9
55,Kolkata,SUV,2022-06-11,4.35,4
56,Chennai,Sedan,2022-10-31,4.82,3
57,Mumbai,Sedan,2023-02-05,3.9,3
58,Kolkata,Sedan,2023-03-18,4.66,1
59,Delhi,Sedan,2022-05-23,4.05,9
60,Delhi,Bike,2021-11-15,4.5,6
61,Chennai,Mini,2021-06-20,4.97,10
62,Delhi,SUV,2023-08-10,4.08,0
63,Pune,Mini,2023-12-26,4.26,4
64,Pune,Bike,2021-06-11,4.46,9
65,Bangalore,SUV,2022-12-30,4.58,6
66,Kolkata,Bike,2021-05-23,4.87,10
67,Kolkata,SUV,2021-08-24,4.62,10
68,Bangalore,SUV,2023-10-11,3.85,8
69,Pune,SUV,2022-06-13,4.95,2
70,Delhi,Bike,2023-10-29,4.04,10
71,Pune,Auto,2023-12-20,4.62,3
72,Hyderabad,Auto,2021-12-17,4.59,6
73,Hyderabad,Sedan,2023-01-20,4.56,6
74,Hyderabad,Mini,2022-05-10,4.73,2
75,Pune,Mini,2023-11-30,4.46,2
76,Hyderabad,Mini,2023-07-19,3.81,10
77,Bangalore,Sedan,2023-02-25,4.96,6
78,Mumbai,Bike,2022-09-28,4.64,2
79,Pune,SUV,2022-02-14,4.87,8
80,Kolkata,Mini,2022-01-05,4.87,4
81,Chennai,Bike,2022-04-11,4.29,5
82,Kolkata,Mini,2022-07-15,4.51,4
83,Mumbai,Sedan,2023-03-10,4.43,6
84,Bangalore,Auto,2023-12-14,4.23,7
85,Chennai,Mini,2023-05-21,4.53,8
86,Kolkata,Mini,2021-05-05,3.81,0
87,Delhi,SUV,2022-07-19,4.55,4
88,Kolkata,SUV,2023-04-01,4.69,0
89,Pune,Bike,2023-12-24,4.92,4
90,Delhi,Bike,2023-07-25,4.96,4
91,Chennai,Auto,2023-06-13,4.05,0
92,Bangalore,SUV,2022-09-06,4.36,5
93,Bangalore,Bike,2023-06-23,3.95,10
94,Hyderabad,Mini,2021-04-27,4.48,0
95,Chennai,Mini,2023-08-04,4.89,3
96,Chennai,Mini,2022-01-19,4.5,10
97,Pune,Bike,2023-07-19,4.16,6
98,Hyderabad,Mini,2022-11-08,4.3,4
99,Delhi,Auto,2022-04-22,4.23,6
100,Kolkata,SUV,2023-02-17,4.54,8
101,Bangalore,Auto,2022-08-25,4.39,0
102,Mumbai,SUV,2021-07-02,4.54,2
103,Delhi,SUV,2021-09-24,4.78,8
104,Kolkata,Mini,2021-06-01,4.42,9
105,Pune,Bike,2021-06-30,5.0,6
106,Bangalore,Mini,2022-11-08,3.98,8
107,Bangalore,Auto,2022-06-05,3.84,4
108,Pune,Sedan,2022-10-21,4.78,7
109,Mumbai,Mini,2023-06-04,4.81,0
110,Chennai,Bike,2021-06-04,3.86,5
111,Hyderabad,Mini,2023-05-30,4.79,6
112,Delhi,Sedan,2022-09-07,4.02,2
113,Pune,Sedan,2022-11-04,4.26,2
114,Pune,SUV,2021-11-05,4.12,1
115,Delhi,Mini,2023-02-17,4.08,3
116,Mumbai,Auto,2022-10-28,4.89,6
117,Mumbai,SUV,2022-04-25,4.41,7
118,Kolkata,Sedan,2023-02-12,4.44,7
119,Bangalore,SUV,2023-06-12,4.82,4
120,Kolkata,Auto,2022-11-07,4.97,2
121,Chennai,Mini,2022-08-06,4.91,5
122,Bangalore,Sedan,2022-09-06,3.99,0
123,Hyderabad,Sedan,2021-04-15,4.21,7
124,Bangalore,SUV,2023-05-15,4.58,5
125,Delhi,SUV,2023-01-02,4.48,0
126,Mumbai,Bike,2021-11-09,4.87,6
127,Kolkata,Sedan,2022-05-16,4.94,6
128,Hyderabad,Sedan,2021-08-03,4.65,1
129,Hyderabad,Auto,2023-02-07,4.87,10
130,Hyderabad,Mini,2021-11-26,4.49,5
131,Hyderabad,SUV,2021-10-07,4.35,10
132,Hyderabad,Sedan,2021-06-04,4.81,0
133,Mumbai,Bike,2021-10-31,4.0,3
134,Kolkata,Bike,2021-11-03,4.09,2
135,Hyderabad,Mini,2021-11-09,4.98,2
136,Bangalore,Mini,2021-04-14,4.47,7
137,Pune,Auto,2022-04-08,4.85,2
138,Bangalore,Bike,2023-04-24,4.02,1
139,Pune,SUV,2023-08-31,4.91,0
140,Bangalore,Auto,2022-11-17,4.86,6
141,Kolkata,Sedan,2022-04-02,4.35,9
142,Bangalore,Sedan,2023-03-16,4.59,7
143,Kolkata,SUV,2023-03-14,3.99,0
144,Bangalore,Bike,2021-07-22,4.06,8
145,Delhi,Sedan,2021-11-15,4.84,6
146,Kolkata,Auto,2022-05-19,3.93,1
147,Hyderabad,Sedan,2022-01-25,4.66,7
148,Kolkata,Bike,2023-10-09,4.43,6
149,Pune,Mini,2021-08-22,4.34,3
150,Pune,Bike,2021-06-03,3.95,3
151,Delhi,Sedan,2022-05-08,4.95,8
152,Chennai,Sedan,2023-09-18,4.43,5
153,Delhi,Sedan,2022-02-12,4.71,6
154,Pune,Bike,2021-06-25,4.57,0
155,Mumbai,Mini,2022-03-23,4.21,2
156,Kolkata,Sedan,2022-05-11,4.77,10
157,Mumbai,Sedan,2022-05-03,4.69,7
158,Hyderabad,Bike,2023-09-28,4.1,0
159,Pune,Bike,2023-09-19,3.92,7
160,Kolkata,Mini,2023-06-09,4.22,2
161,Hyderabad,SUV,2021-08-21,4.11,1
162,Hyderabad,Bike,2023-08-08,3.8,10
163,Delhi,SUV,2022-01-12,4.64,3
164,Kolkata,SUV,2023-02-20,4.61,7
165,Chennai,Sedan,2021-04-18,4.45,9
166,Bangalore,Bike,2021-12-10,4.22,6
167,Pune,Sedan,2022-09-01,4.62,10
168,Mumbai,SUV,2022-07-20,4.32,4
169,Hyderabad,Auto,2022-09-12,4.21,9
170,Hyderabad,Sedan,2022-05-24,4.0,3
171,Bangalore,Sedan,2023-06-14,4.83,1
172,Hyderabad,SUV,2022-01-22,4.48,7
173,Mumbai,Bike,2022-08-31,4.83,10
174,Mumbai,Auto,2023-07-25,4.38,6
175,Mumbai,Bike,2023-04-12,4.45,10
176,Hyderabad,Mini,2023-03-05,4.36,7
177,Pune,Auto,2022-06-03,4.43,6
178,Bangalore,SUV,2022-07-23,4.38,8
179,Kolkata,Auto,2022-11-05,4.47,4
180,Pune,SUV,2022-11-28,4.33,10
181,Pune,Mini,2022-11-07,4.72,1
182,Delhi,Bike,2021-07-26,4.0,10
183,Hyderabad,Auto,2022-02-04,3.9,2
184,Kolkata,SUV,2021-10-08,3.9,9
185,Mumbai,Mini,2021-05-30,4.8,6
186,Mumbai,Auto,2022-03-17,4.51,1
187,Bangalore,Bike,2022-01-04,4.61,3
188,Chennai,Mini,2022-04-23,4.21,10
189,Kolkata,SUV,2023-07-20,4.21,8
190,Mumbai,Auto,2022-06-03,4.71,8
191,Pune,SUV,2021-05-10,4.82,7
192,Kolkata,Bike,2022-04-05,4.74,5
193,Chennai,SUV,2022-04-20,4.34,4
194,Pune,Auto,2021-04-21,4.15,0
195,Chennai,Sedan,2021-08-20,4.36,4
196,Hyderabad,Sedan,2023-10-27,3.94,3
197,Pune,SUV,2022-05-04,4.53,3
198,Pune,SUV,2022-01-07,4.4,6
199,Pune,Sedan,2022-07-07,4.41,9
200,Kolkata,Auto,2022-08-12,4.74,3
201,Hyderabad,Auto,2021-09-07,4.17,10
202,Chennai,Auto,2021-04-22,4.32,7
203,Bangalore,Auto,2021-06-08,4.04,5
204,Kolkata,Sedan,2021-10-09,4.09,7
205,Mumbai,SUV,2023-09-21,4.62,7
206,Delhi,Mini,2023-06-20,4.69,1
207,Delhi,Bike,2021-10-23,4.44,2
208,Hyderabad,Bike,2023-03-09,4.49,3
209,Delhi,Bike,2023-01-08,4.97,7
210,Kolkata,Auto,2022-09-28,4.79,1
211,Hyderabad,Bike,2022-07-24,4.25,3
212,Bangalore,Sedan,2023-03-08,4.78,8
213,Pune,Auto,2023-04-05,4.48,7
214,Mumbai,Auto,2023-03-11,4.24,1
215,Chennai,Auto,2021-09-24,4.03,4
216,Chennai,SUV,2022-11-10,4.0,9
217,Kolkata,SUV,2022-08-17,4.8,3
218,Kolkata,Bike,2022-10-05,4.88,2
219,Hyderabad,Bike,2023-03-21,4.91,1
220,Delhi,SUV,2023-11-14,4.09,3
221,Mumbai,Bike,2023-05-21,3.99,7
222,Pune,Sedan,2021-06-19,4.57,4
223,Delhi,Sedan,2023-01-19,4.78,10
224,Hyderabad,SUV,2021-04-21,4.3,6
225,Delhi,Mini,2022-01-30,3.98,2
226,Hyderabad,Sedan,2023-06-08,4.28,7
227,Pune,Auto,2022-07-27,3.91,0
228,Hyderabad,Sedan,2021-09-16,4.38,2
229,Delhi,Sedan,2022-03-24,4.44,8
230,Bangalore,Auto,2022-06-03,4.04,3
231,Chennai,Sedan,2021-11-13,4.69,4
232,Chennai,Mini,2021-08-30,4.59,8
233,Hyderabad,Auto,2023-07-31,4.56,5
234,Pune,Bike,2023-04-12,4.3,1
235,Pune,SUV,2023-03-23,4.88,1
236,Pune,Auto,2023-12-05,4.67,6
237,Chennai,Auto,2022-08-02,4.54,4
238,Bangalore,SUV,2022-03-08,3.87,4
239,Delhi,Bike,2022-09-08,4.87,5
240,Delhi,Auto,2022-12-12,4.82,5
241,Bangalore,SUV,2023-08-03,4.66,8
242,Bangalore,SUV,2022-07-24,3.96,1
243,Delhi,Mini,2021-06-16,3.87,3
244,Mumbai,Mini,2022-08-06,3.83,10
245,Kolkata,Mini,2021-10-03,4.54,0
246,Pune,Sedan,2022-05-01,4.08,3
247,Mumbai,Auto,2023-06-09,4.6,5
248,Hyderabad,SUV,2021-04-24,3.8,6
249,Chennai,Mini,2023-04-30,4.4,3
250,Bangalore,SUV,2022-11-02,4.88,5
251,Chennai,Mini,2022-03-30,4.87,0
252,Chennai,Sedan,2023-10-11,4.0,8
253,Bangalore,Auto,2021-09-02,4.98,9
254,Pune,Sedan,2021-12-11,4.11,5
255,Kolkata,Sedan,2022-01-21,4.05,6
256,Mumbai,Mini,2023-04-03,4.52,8
257,Bangalore,Bike,2022-11-14,3.94,1
258,Mumbai,Auto,2023-12-15,4.5,0
259,Chennai,Bike,2023-06-26,3.83,9
260,Chennai,Auto,2022-11-01,4.91,6
261,Mumbai,Auto,2022-04-20,3.8,1
262,Pune,Auto,2023-12-19,4.02,8
263,Delhi,Bike,2021-10-05,4.01,5
264,Pune,Mini,2023-08-18,4.23,0
265,Kolkata,Auto,2021-06-06,4.74,8
266,Kolkata,Auto,2023-10-18,4.2,2
267,Chennai,Auto,2022-06-14,4.1,8
268,Pune,Mini,2023-08-15,4.18,10
269,Pune,Sedan,2022-08-22,4.37,6
270,Delhi,Bike,2022-01-03,3.99,3
271,Kolkata,Mini,2021-08-30,4.49,8
272,Hyderabad,Bike,2022-02-06,3.87,0
273,Bangalore,Sedan,2023-12-13,4.92,3
274,Delhi,Mini,2022-12-30,4.84,1
275,Bangalore,Bike,2022-03-13,4.35,5
276,Chennai,Auto,2023-07-23,4.69,5
277,Mumbai,Bike,2022-08-25,4.5,6
278,Mumbai,SUV,2023-02-08,3.96,8
279,Chennai,Bike,2021-07-15,4.28,5
280,Mumbai,Mini,2021-05-20,3.96,0
281,Chennai,Auto,2023-09-27,4.64,4
282,Chennai,Bike,2023-12-31,3.97,9
283,Kolkata,Sedan,2021-05-28,4.57,7
284,Hyderabad,Mini,2021-05-17,3.96,9
285,Chennai,Mini,2021-12-31,4.16,7
286,Hyderabad,Bike,2022-11-05,4.5,2
287,Bangalore,Sedan,2021-09-08,4.45,2
288,Mumbai,Auto,2023-07-16,4.62,5
289,Pune,Bike,2022-06-22,4.82,6
290,Chennai,Auto,2023-09-25,4.5,2
291,Hyderabad,Bike,2021-07-23,4.32,5
292,Delhi,Sedan,2021-10-29,4.92,1
293,Kolkata,Bike,2023-08-04,3.94,2
294,Kolkata,Sedan,2023-05-25,4.93,9
295,Pune,Bike,2023-07-29,4.12,8
296,Delhi,Auto,2023-11-14,4.71,9
297,Delhi,Mini,2022-07-25,4.7,7
298,Hyderabad,Mini,2023-04-06,4.71,1
299,Delhi,Mini,2022-03-01,3.82,3
300,Bangalore,Auto,2022-07-06,4.66,8
301,Chennai,SUV,2021-04-30,4.08,5
302,Chennai,Bike,2021-11-28,3.9,8
303,Kolkata,Auto,2022-03-02,4.37,0
304,Bangalore,Mini,2023-07-25,4.0,5
305,Kolkata,Auto,2022-06-03,4.06,4
306,Kolkata,Auto,2022-10-28,4.65,3
307,Mumbai,Bike,2023-07-10,3.89,4
308,Mumbai,Bike,2022-08-27,4.85,1
309,Kolkata,Auto,2022-08-13,4.59,3
310,Pune,Sedan,2021-06-28,4.07,10
311,Chennai,SUV,2023-10-06,4.58,10
312,Mumbai,Bike,2022-02-16,4.35,6
313,Delhi,Sedan,2023-07-29,4.88,5
314,Hyderabad,Sedan,2023-01-12,3.93,3
315,Kolkata,Bike,2022-03-05,3.89,7
316,Bangalore,Auto,2021-04-11,4.99,2
317,Mumbai,Auto,2021-04-18,4.98,6
318,Delhi,Auto,2022-11-14,4.69,7
319,Delhi,SUV,2021-06-18,4.25,8
320,Bangalore,SUV,2022-04-04,4.09,2
321,Chennai,Sedan,2022-07-18,4.16,6
322,Mumbai,Auto,2023-03-30,4.27,3
323,Bangalore,SUV,2023-12-04,4.29,10
324,Kolkata,Auto,2023-05-21,4.43,3
325,Mumbai,Sedan,2023-05-21,4.37,3
326,Chennai,Mini,2022-10-16,4.7,10
327,Kolkata,Auto,2021-05-19,4.05,4
328,Pune,Bike,2022-11-23,4.37,5
329,Chennai,Mini,2021-09-08,4.37,9
330,Pune,Sedan,2023-02-08,4.58,0
331,Hyderabad,SUV,2022-12-07,4.59,6
332,Mumbai,SUV,2021-11-17,4.82,10
333,Pune,Mini,2021-05-06,4.86,0
334,Bangalore,Sedan,2022-08-24,4.93,6
335,Pune,Sedan,2023-06-01,4.67,3
336,Pune,SUV,2023-06-16,4.12,0
337,Mumbai,Sedan,2022-02-22,4.49,5
338,Kolkata,Bike,2022-07-02,4.93,4
339,Bangalore,Sedan,2022-04-21,4.6,0
340,Bangalore,Sedan,2023-05-23,4.64,3
341,Pune,Bike,2022-02-05,3.98,5
342,Hyderabad,SUV,2022-12-17,3.9,9
343,Hyderabad,Auto,2023-03-15,3.98,9
344,Mumbai,Mini,2023-01-13,4.59,7
345,Hyderabad,Bike,2023-02-19,4.58,3
346,Bangalore,Sedan,2022-09-11,4.85,1
347,Mumbai,Mini,2022-04-07,4.02,4
348,Chennai,Sedan,2022-03-20,3.95,4
349,Kolkata,Bike,2021-11-28,4.31,10
350,Bangalore,SUV,2022-08-09,4.35,8
351,Pune,SUV,2021-10-09,4.23,8
352,Pune,Sedan,2023-05-11,3.85,4
353,Pune,Auto,2021-07-15,4.76,1
354,Delhi,Bike,2022-07-25,4.81,8
355,Mumbai,Mini,2021-09-05,4.42,5
356,Hyderabad,Bike,2023-11-30,4.82,7
357,Pune,Sedan,2022-05-19,4.1,10
358,Kolkata,Mini,2021-07-08,3.83,0
359,Kolkata,SUV,2021-12-10,4.47,4
360,Chennai,SUV,2022-09-07,4.75,2
361,Delhi,Auto,2022-03-04,4.54,7
362,Kolkata,Auto,2022-07-05,4.73,10
363,Chennai,SUV,2021-10-21,4.96,1
364,Pune,Auto,2022-10-02,4.62,9
365,Kolkata,Auto,2021-09-18,4.67,10
366,Pune,SUV,2022-05-12,4.84,0
367,Pune,Mini,2021-11-29,4.75,5
368,Delhi,Auto,2021-08-10,4.38,10
369,Hyderabad,Bike,2022-09-11,4.23,10
370,Mumbai,Auto,2021-09-26,4.9,1
371,Pune,Bike,2021-06-15,4.73,10
372,Hyderabad,Auto,2022-05-02,4.17,7
373,Hyderabad,Mini,2022-10-21,4.65,0
374,Kolkata,Auto,2023-01-20,4.12,9
375,Hyderabad,Mini,2022-03-06,4.92,4
376,Bangalore,Bike,2023-03-10,3.87,10
377,Bangalore,SUV,2022-02-09,4.47,5
378,Bangalore,Mini,2022-12-28,4.2,6
379,Delhi,Auto,2023-08-15,4.8,7
380,Mumbai,Mini,2022-05-28,4.63,10
381,Mumbai,SUV,2023-12-19,4.58,4
382,Chennai,Mini,2023-06-21,4.67,1
383,Mumbai,Sedan,2022-11-11,3.82,2
384,Hyderabad,Auto,2022-04-27,4.4,2
385,Kolkata,Auto,2023-11-06,4.49,5
386,Bangalore,Mini,2021-07-01,4.32,7
387,Hyderabad,Bike,2023-07-09,4.12,4
388,Pune,Auto,2023-02-20,4.91,4
389,Chennai,Sedan,2023-09-21,4.24,7
390,Delhi,Bike,2023-07-21,4.47,6
391,Chennai,Auto,2023-10-25,4.99,6
392,Pune,Mini,2021-06-15,4.13,6
393,Kolkata,Mini,2023-01-10,3.91,3
394,Delhi,Auto,2022-09-05,4.14,10
395,Pune,Auto,2023-05-08,4.04,9
396,Bangalore,Sedan,2023-07-27,4.21,4
397,Hyderabad,Auto,2022-10-16,4.38,6
398,Pune,Auto,2022-01-14,4.43,4
399,Chennai,Auto,2021-07-01,4.57,5
400,Pune,Mini,2021-06-10,4.04,3
401,Bangalore,SUV,2021-11-29,4.56,8
402,Bangalore,SUV,2023-10-28,5.0,8
403,Bangalore,SUV,2021-11-05,4.62,10
404,Kolkata,Mini,2022-05-07,4.39,10
405,Chennai,Auto,2022-12-05,4.38,8
406,Delhi,Mini,2022-09-12,4.46,6
407,Bangalore,SUV,2023-06-20,3.98,1
408,Hyderabad,SUV,2021-08-28,4.99,3
409,Hyderabad,Mini,2023-05-17,4.6,10
410,Kolkata,Auto,2021-10-02,4.29,1
411,Delhi,Auto,2023-04-04,4.79,9
412,Pune,Mini,2021-11-29,4.06,6
413,Pune,Auto,2022-07-26,4.15,9
414,Chennai,Bike,2021-12-05,4.52,4
415,Kolkata,Bike,2022-03-30,4.98,2
416,Bangalore,Mini,2022-05-15,4.98,0
417,Bangalore,SUV,2023-04-28,4.99,9
418,Chennai,Auto,2022-04-19,5.0,1
419,Kolkata,Auto,2022-05-10,4.28,4
420,Kolkata,SUV,2022-04-10,4.94,2
421,Kolkata,SUV,2022-06-14,4.79,8
422,Mumbai,Sedan,2023-07-21,4.1,4
423,Bangalore,Mini,2022-04-07,4.53,8
424,Kolkata,Sedan,2021-04-16,4.38,9
425,Chennai,Bike,2023-08-26,3.93,1
426,Hyderabad,Bike,2022-05-25,4.42,2
427,Kolkata,Bike,2021-12-01,3.87,0
428,Pune,Auto,2023-08-14,4.36,8
429,Delhi,SUV,2023-08-14,4.95,9
430,Bangalore,Mini,2021-10-22,4.26,7
431,Mumbai,Sedan,2023-01-14,4.24,4
432,Kolkata,Bike,2022-11-14,4.65,10
433,Bangalore,Sedan,2023-08-26,3.93,1
434,Hyderabad,Sedan,2023-10-14,4.05,9
435,Kolkata,Sedan,2022-03-27,4.66,5
436,Hyderabad,Sedan,2023-11-18,4.8,1
437,Bangalore,Sedan,2021-04-29,4.72,1
438,Hyderabad,Sedan,2023-09-23,4.26,9
439,Pune,Auto,2022-12-10,4.55,1
440,Pune,SUV,2023-12-02,4.73,9
441,Pune,Auto,2022-01-23,4.63,9
442,Hyderabad,Auto,2021-08-09,4.48,2
443,Delhi,Sedan,2022-09-20,4.38,1
444,Mumbai,Mini,2023-06-21,4.72,0
445,Hyderabad,Mini,2023-04-09,4.69,2
446,Kolkata,Mini,2021-09-09,4.03,3
447,Hyderabad,Auto,2021-07-25,4.5,0
448,Hyderabad,Bike,2021-05-31,4.92,3
449,Chennai,Mini,2022-10-31,4.73,10
450,Mumbai,Bike,2022-05-17,4.96,1
451,Delhi,Mini,2022-07-12,4.74,4
452,Hyderabad,SUV,2022-04-22,4.65,4
453,Mumbai,Bike,2022-09-09,4.37,10
454,Chennai,Auto,2022-04-24,4.78,5
455,Bangalore,Mini,2022-04-19,3.94,7
456,Bangalore,Mini,2023-07-16,4.59,5
457,Kolkata,Bike,2022-09-23,4.0,10
458,Pune,Auto,2022-06-08,4.63,9
459,Mumbai,Mini,2023-08-06,4.35,2
460,Pune,SUV,2023-07-23,4.59,9
461,Delhi,Mini,2022-05-10,4.01,0
462,Mumbai,Bike,2023-06-13,5.0,8
463,Kolkata,Sedan,2023-03-12,4.94,7
464,Pune,Auto,2023-01-10,4.3,5
465,Pune,Auto,2022-05-29,4.42,10
466,Chennai,Sedan,2021-10-30,4.57,8
467,Kolkata,SUV,2022-07-03,4.88,8
468,Chennai,Auto,2022-06-24,4.46,8
469,Pune,Sedan,2022-06-11,4.26,2
470,Hyderabad,Bike,2021-07-08,4.42,5
471,Mumbai,SUV,2021-09-23,4.65,4
472,Delhi,Mini,2022-10-25,4.7,8
473,Pune,Bike,2023-11-06,4.24,7
474,Mumbai,Sedan,2022-05-06,4.05,10
475,Delhi,SUV,2022-05-06,4.0,8
476,Mumbai,SUV,2023-09-29,4.27,4
477,Delhi,SUV,2022-01-05,3.83,1
478,Chennai,SUV,2023-09-28,3.86,10
479,Delhi,SUV,2021-12-24,4.6,5
480,Delhi,Bike,2023-11-16,4.27,6
481,Chennai,Mini,2022-11-13,4.58,7
482,Mumbai,SUV,2023-01-19,4.92,2
483,Pune,Bike,2023-06-10,4.17,0
484,Hyderabad,Sedan,2023-12-18,4.87,3
485,Kolkata,Auto,2021-04-16,3.96,8
486,Kolkata,Sedan,2023-09-11,3.81,2
487,Delhi,Auto,2021-05-09,4.83,7
488,Chennai,SUV,2022-05-15,4.12,0
489,Bangalore,Mini,2021-05-08,4.88,9
490,Delhi,Auto,2023-01-05,3.96,10
491,Chennai,SUV,2021-06-07,4.46,10
492,Hyderabad,SUV,2022-11-30,4.58,2
493,Mumbai,Mini,2023-08-10,4.62,5
494,Delhi,Sedan,2022-06-02,4.36,5
495,Kolkata,Bike,2021-07-10,4.08,10
496,Chennai,Auto,2022-05-05,4.61,3
497,Kolkata,SUV,2023-07-30,4.37,2
498,Kolkata,Bike,2022-06-01,4.65,4
499,Kolkata,Auto,2023-10-30,4.6,6
500,Pune,Bike,2021-08-23,4.45,4
501,Hyderabad,Auto,2021-10-01,4.95,5
502,Kolkata,Bike,2023-01-29,4.86,10
503,Hyderabad,Sedan,2021-07-16,4.98,10
504,Bangalore,Bike,2023-02-11,4.77,7
505,Mumbai,Auto,2022-05-09,4.72,7
506,Mumbai,Mini,2021-05-03,4.36,1
507,Kolkata,Auto,2023-08-31,4.79,7
508,Chennai,Auto,2022-03-06,4.85,5
509,Hyderabad,Sedan,2021-06-11,4.0,5
510,Pune,Auto,2022-09-17,4.02,1
511,Chennai,Sedan,2021-11-14,4.43,4
512,Kolkata,Sedan,2023-01-09,4.19,2
513,Kolkata,Bike,2023-11-09,4.03,2
514,Bangalore,Sedan,2023-12-30,4.72,3
515,Hyderabad,Bike,2021-04-08,4.91,9
516,Bangalore,Bike,2021-09-05,4.01,0
517,Hyderabad,Bike,2021-07-19,4.01,7
518,Mumbai,SUV,2022-08-11,3.91,1
519,Bangalore,Sedan,2022-10-20,3.85,2
520,Chennai,SUV,2021-09-07,3.97,1
521,Kolkata,SUV,2022-02-09,4.0,2
522,Hyderabad,Mini,2021-06-19,4.59,7
523,Kolkata,Mini,2023-01-23,4.01,3
524,Chennai,Auto,2022-03-17,4.39,7
525,Delhi,Bike,2023-05-03,4.0,2
526,Delhi,Bike,2022-05-30,4.46,8
527,Bangalore,Bike,2021-10-01,4.62,1
528,Hyderabad,Bike,2023-10-11,4.96,8
529,Chennai,Auto,2022-12-12,4.73,1
530,Bangalore,SUV,2022-10-14,4.13,2
531,Kolkata,Auto,2023-12-13,4.33,8
532,Pune,Auto,2023-10-21,4.02,2
533,Bangalore,SUV,2023-02-16,4.87,5
534,Mumbai,Sedan,2023-06-07,4.86,6
535,Delhi,Bike,2022-06-14,4.22,5
536,Hyderabad,Bike,2022-11-09,4.5,2
537,Mumbai,Bike,2021-05-25,4.02,8
538,Bangalore,Mini,2021-08-19,3.94,1
539,Chennai,Mini,2021-05-29,4.14,3
540,Pune,Sedan,2021-08-10,3.88,9
541,Hyderabad,SUV,2023-12-05,4.03,5
542,Delhi,Mini,2023-07-27,4.48,3
543,Chennai,Sedan,2022-01-30,4.66,6
544,Pune,Mini,2022-05-08,3.92,9
545,Kolkata,Bike,2022-02-28,4.87,2
546,Mumbai,Mini,2021-05-13,4.43,3
547,Kolkata,Sedan,2021-11-11,4.11,8
548,Pune,Bike,2022-12-25,4.11,2
549,Chennai,Sedan,2021-11-18,4.28,4
550,Delhi,Auto,2023-08-04,4.29,3
551,Mumbai,SUV,2022-06-04,3.94,7
552,Mumbai,Bike,2023-07-02,4.47,0
553,Mumbai,Auto,2022-04-07,4.24,3
554,Chennai,SUV,2022-08-11,4.0,0
555,Hyderabad,Sedan,2023-01-29,4.67,3
556,Pune,Bike,2023-05-30,4.3,5
557,Bangalore,Sedan,2023-08-26,4.69,0
558,Chennai,Mini,2023-01-15,4.94,4
559,Bangalore,Auto,2023-06-17,4.24,5
560,Delhi,Sedan,2023-11-01,4.38,5
561,Chennai,Mini,2023-04-28,4.67,5
562,Kolkata,Mini,2022-08-27,3.81,4
563,Pune,Auto,2022-05-20,4.38,1
